Risk ID,Type,Root Cause,Incident,Impact,Response Strategy,Response Action,ground_truth_tier
1,Threat,Unexpected outage,Things go wrong,Bad outcome for the team,Transfer,Discuss with the team,MONITOR
2,Threat,Supplier fails to ship on time,Unforeseen issues occur,Bad outcome for the team,Avoid,,MONITOR
3,Threat,Key module fails QA,Things go wrong,Bad outcome for the team,Avoid,Discuss with the team,MONITOR
4,Threat,Supplier fails to ship on time,Problems during integration,Quality might suffer,Avoid,,MONITOR
5,Threat,Supplier fails to ship on time,Problems during integration,Customer may complain,Mitigate,Keep an eye on the situation,MONITOR
6,Threat,User rejects new UI,Timeline is affected,Bad outcome for the team,Mitigate,Keep an eye on the situation,MONITOR
7,Threat,Error in testing,Timeline is affected,Delays may happen,Mitigate,Communicate better,MONITOR
8,Threat,Delay in delivery,Things go wrong,Customer may complain,Avoid,Communicate better,MONITOR
9,Threat,Team misses sprint goal,Timeline is affected,Quality might suffer,Transfer,Take preventive measures,MONITOR
10,Threat,Unexpected outage,Users don't like the result,Quality might suffer,Avoid,Keep an eye on the situation,MONITOR
11,Threat,Delay in delivery,Problems during integration,Budget could be exceeded,Transfer,,MONITOR
12,Threat,Supplier fails to ship on time,Things go wrong,Bad outcome for the team,Mitigate,Communicate better,MONITOR
13,Threat,Delay in delivery,Unforeseen issues occur,Bad outcome for the team,Accept,Communicate better,MONITOR
14,Threat,Key module fails QA,Timeline is affected,Delays may happen,Transfer,Communicate better,MONITOR
15,Threat,Supplier fails to ship on time,Timeline is affected,Bad outcome for the team,Mitigate,,MONITOR
16,Threat,Unexpected outage,Unforeseen issues occur,Delays may happen,Accept,Keep an eye on the situation,MONITOR
17,Opportunity,Error in testing,Problems during integration,Delays may happen,Share,Take preventive measures,MONITOR
18,Opportunity,Supplier fails to ship on time,Things go wrong,Budget could be exceeded,Accept,Communicate better,MONITOR
19,Opportunity,Delay in delivery,Unforeseen issues occur,Quality might suffer,Share,Discuss with the team,MONITOR
20,Opportunity,Unexpected outage,Users don't like the result,Customer may complain,Accept,Discuss with the team,MONITOR
21,Threat,The SOC2 Type II audit is scheduled for September 10 with a non-extendable deadline,The external auditor finds a critical control gap during the September audit window,Launch blocked indefinitely until remediation; contractual obligation to enterprise clients breached,Mitigate,Hire compliance consultant immediately and run mock audit by August 20,ESCALATE
22,Threat,The payment processor's SLA has been violated three times in the last 30 days with 99.2% uptime vs contracted 99.95%,A fourth SLA violation occurs during the high-traffic launch week,Direct revenue loss; class-action exposure from enterprise customers whose contracts reference our uptime,Mitigate,Escalate to vendor executive sponsor and prepare backup processor failover plan by August 1,ESCALATE
23,Threat,The Data Processing Agreement required by GDPR Article 28 remains unsigned with cloud vendor X,An EU customer's data is processed before the DPA is in force,Regulatory fine up to 4% of global annual revenue; mandatory breach disclosure,Avoid,Block all EU customer onboarding until legal confirms DPA executed,ESCALATE
24,Threat,The production database has no tested disaster recovery procedure and backups have never been restored in a drill,A region-wide cloud incident triggers failover requirements,Permanent data loss; existential threat to company; SLA penalties trigger,Mitigate,Schedule and execute full DR drill within 14 days; document RTO/RPO,ESCALATE
25,Threat,The lead solution architect submitted resignation effective August 31 with no documented knowledge transfer plan,Critical design decisions need to be made post-departure without architect context,Architectural drift; integration defects in launch window; team morale collapse,Mitigate,Begin paid knowledge-transfer engagement and identify successor by August 15,ESCALATE
26,Threat,The August 15 penetration test identified a critical authentication bypass vulnerability with public CVE exposure,The vulnerability is exploited before patch deployment in production,Customer credential theft; mandatory breach notification; permanent reputational damage,Avoid,Block production deployment until patch verified by independent security review,ESCALATE
27,Threat,Our anchor customer ACME Corp has formally communicated dissatisfaction with launch slippage and renewal cycle starts October 1,ACME Corp issues a 30-day cancellation notice citing missed commitments,Loss of 22% of ARR; reference-customer loss derails enterprise pipeline,Mitigate,Schedule executive recovery meeting with ACME CTO within 7 days,ESCALATE
28,Threat,Legal counsel flagged that Section 9 of the standard Terms of Service is unenforceable under EU consumer protection law,An EU regulator opens an investigation following a customer complaint,Forced contract rewrite; potential class action; EU operations suspended,Mitigate,Engage EU-specialized counsel to redraft Section 9 before EU launch,ESCALATE
29,Threat,Cloud vendor X announced deprecation of region eu-west-3 with 6-week notice and our infrastructure depends on it,Region eu-west-3 is shut down before our migration to eu-central-1 completes,Production downtime during launch; EU data residency violation,Avoid,Migrate to eu-central-1 with parallel-running and cutover by August 25,ESCALATE
30,Threat,The KMS encryption key rotation script has been silently failing in production for 45 days,Compliance auditor or attacker discovers that production keys have not rotated,SOC2 control failure; potential cryptographic exposure of customer data,Mitigate,Halt deploys and run forensic review of key state within 24 hours,ESCALATE
31,Threat,A widely-used npm dependency in our CI pipeline was identified as compromised in CVE-2026-XXXX published August 12,Compromised dependency injects malicious code into production builds,Supply chain compromise; full incident response activation; customer trust collapse,Avoid,Quarantine pipeline immediately and audit all builds since dependency adoption,ESCALATE
32,Threat,The master services agreement with strategic partner triggers a $2M penalty if launch slips past September 30,Project enters October without launch,Direct financial penalty equal to 18% of project budget; sponsor confidence loss,Mitigate,Run weekly executive review with go/no-go decision rights starting August 1,ESCALATE
33,Threat,Authentication vendor Y enforces a rate limit of 500 req/sec and peak load test recorded 850 req/sec,Vendor Y throttles authentication during high-traffic launch event,Users unable to log in for ~10 minutes during peak load; conversion loss,Mitigate,Negotiate elevated rate limit with vendor and add client-side request smoothing,FLAG
34,Threat,The frontend JavaScript bundle has grown 40% in the last 6 sprints reaching 850KB gzipped,Mobile users on slow networks experience first-paint times above 5 seconds,Conversion rate degradation on mobile; bounce rate increase,Mitigate,Run bundle analyzer and code-split routes by August 20,FLAG
35,Threat,Two of five QA engineers are on extended medical leave with no backfill scheduled,Regression suite is not fully executed before the September 5 release candidate,Quality gaps in launch build; possible post-launch hotfixes,Mitigate,Engage external QA contractor and re-prioritize test scope,FLAG
36,Threat,The data visualization library is on v2 and the team plans to upgrade to v3 which has breaking API changes,Upgrade introduces visual regressions in 12 dashboard widgets,User-facing regressions in main analytics product; support ticket spike,Mitigate,Defer upgrade until post-launch and document the technical debt,FLAG
37,Threat,Team velocity has dropped from 45 to 32 story points across the last 4 sprints,Remaining scope cannot be completed before the September 15 code freeze,Scope cuts required late in cycle; quality compromises,Mitigate,Re-baseline scope with PO and remove non-launch-critical items by August 18,FLAG
38,Threat,Apple App Store review takes 7-14 days and we plan to submit on August 28 for a September 10 launch,App Store review extends beyond launch date,Mobile launch delayed by 1-2 weeks; partial-launch communications required,Mitigate,Submit by August 20 with TestFlight already validated,FLAG
39,Threat,Translation files for German French Italian Spanish and Dutch are 60% complete with 3 weeks remaining,Translations not complete by September 5 freeze,Launch in 5 EU markets postponed; marketing campaign rework,Mitigate,Engage second translation vendor for parallel completion,FLAG
40,Threat,Customer success team training is scheduled for September 8 only 2 days before launch,CS team cannot answer launch-week customer questions effectively,Customer dissatisfaction in first week; ticket backlog,Mitigate,Move first training session to August 22 and add second on September 1,FLAG
41,Threat,The internal API documentation has not been updated for the new authentication flow introduced in sprint 9,Integration partners build against outdated docs and integration fails on launch day,Partner integration delays; reputational impact with developer ecosystem,Mitigate,Assign tech writer to refresh docs by August 28,FLAG
42,Threat,Load balancer configuration in staging has drifted from production with 7 undocumented manual changes,Staging tests pass but production deploy reveals configuration gap,Production incident during deploy window; rollback needed,Mitigate,Recreate staging from infrastructure-as-code by August 20,FLAG
43,Threat,Backup retention is set to 7 days but enterprise contracts promise 30-day point-in-time recovery,Enterprise customer requests recovery of data older than 7 days,SLA breach; potential contract penalty per affected customer,Mitigate,Extend retention policy and validate backup integrity within 10 days,FLAG
44,Threat,Third-party analytics vendor announced deprecation of v1 API used by our executive reports module,Reports module breaks when v1 API is shut down on October 15,Loss of executive visibility into product metrics post-launch,Mitigate,Migrate reports module to v2 API by October 1,FLAG
45,Threat,The new onboarding flow A/B test has been inconclusive for 3 weeks with overlapping confidence intervals,Wrong variant ships to all users at launch reducing conversion,Suboptimal conversion at launch; revenue impact in first quarter,Mitigate,Extend test by 2 weeks or ship variant with higher upper-bound estimate,FLAG
46,Threat,Integration testing requires a synthetic dataset from a vendor whose shipment is 10 days late,Integration testing cannot start by August 15 as planned,Compressed integration testing window; quality risk,Mitigate,Generate interim synthetic dataset internally while awaiting shipment,FLAG
47,Threat,Multiple risks in this register reference cloud vendor X creating concentration exposure,A vendor X outage simultaneously triggers multiple risk events,Compounded incident with multiple failure modes activating at once,Mitigate,Document vendor concentration in risk register and evaluate multi-vendor strategy,FLAG
48,Threat,The marketing launch event venue cancelled and the replacement venue requires new vendor contracts,Replacement vendor contracts not signed in time delay press event,Press coverage diminished; launch momentum reduced,Mitigate,Have legal expedite vendor agreements within 14 days,FLAG
49,Threat,SRE on-call rotation requires 5 engineers and we currently have 3 with two open requisitions,Production incident occurs without sufficient on-call coverage,Slow incident response in first weeks post-launch,Mitigate,Bring in contract SRE coverage while hiring continues,FLAG
50,Threat,The launch stakeholder communication plan has not been formally approved by the executive sponsor,Inconsistent messaging confuses customers and internal teams at launch,Public messaging missteps; internal coordination friction,Mitigate,Schedule sponsor review meeting and obtain sign-off by August 25,FLAG
51,Threat,The admin panel uses a query that takes 3 seconds to load the user list at scale,Admin users experience slow page loads,Minor productivity impact for internal admin users,Accept,Monitor and address post-launch if user feedback warrants,MONITOR
52,Threat,Some legacy documentation pages still reference the old company logo,Inconsistent branding visible to users browsing help docs,Cosmetic inconsistency; minor brand impact,Mitigate,Update logos in next docs sprint,MONITOR
53,Threat,A few unit tests have flaky behavior with ~2% failure rate on CI,Occasional spurious CI failures cause minor developer friction,Slight slowdown in PR merge cadence,Mitigate,Track flaky tests and stabilize during normal maintenance,MONITOR
54,Threat,The dark mode toggle has a visual glitch on Safari for ~1 second on first load,Safari dark mode users see brief flash of light theme,Cosmetic issue affecting small user segment,Accept,Address in post-launch UX polish sprint,MONITOR
55,Threat,Internal Slack channel for the project has grown to 80 members making it noisy,Important messages get lost in the channel,Communication inefficiency within team,Mitigate,Split into focused subchannels,MONITOR
56,Threat,The staging environment occasionally needs manual restart on Mondays,Team loses ~15 minutes restarting staging weekly,Minor productivity loss for QA team,Accept,Investigate root cause when bandwidth allows,MONITOR
57,Threat,Documentation site search returns slightly stale results due to 1-hour cache,Users searching docs may see slightly outdated content,Minor user experience friction,Accept,Reduce cache TTL when convenient,MONITOR
58,Threat,Some color combinations in the UI fall just below WCAG AAA but meet AA,Accessibility nice-to-have not fully achieved,Below stretch accessibility goal; AA compliance still met,Accept,Address in post-launch accessibility improvement initiative,MONITOR
59,Threat,Email templates use inline styles that look slightly off in some older Outlook versions,Older Outlook users see slightly degraded email rendering,Cosmetic email rendering issue for legacy clients,Accept,Refactor templates when redesigning email system,MONITOR
60,Threat,The project wiki has some pages with outdated meeting notes from earlier phases,Stale information visible to new team members,Minor onboarding inefficiency,Mitigate,Archive old pages during next documentation sprint,MONITOR
61,Threat,A few API endpoint response times average 200ms instead of target 100ms,Slightly slower response times for affected endpoints,Below performance target but well within usable range,Mitigate,Profile and optimize in next performance sprint,MONITOR
62,Threat,The internal dashboard shows a 1-hour delay in metrics ingestion,Real-time metrics not truly real-time for internal users,Minor analytical lag for internal reporting,Accept,Investigate streaming alternative post-launch,MONITOR
63,Threat,A test database contains seed data that does not reflect current production schema,Tests using seed data may not fully exercise current schema,Marginal reduction in test coverage,Mitigate,Regenerate seed data in next sprint,MONITOR
64,Threat,The error tracking tool occasionally duplicates events due to retry logic,Some error events appear twice in dashboards,Slight metric inflation in error tracking,Accept,Tune retry logic during normal maintenance,MONITOR
65,Threat,Some feature flag names follow an inconsistent naming convention,Slight confusion when reading flag registry,Minor developer experience issue,Mitigate,Standardize names during next refactor,MONITOR
66,Threat,The QA test report template could benefit from clearer formatting,Reports are functional but harder to scan than ideal,Minor reporting clarity issue,Accept,Improve template when QA team has capacity,MONITOR
67,Threat,Some scheduled jobs run at suboptimal times causing minor resource contention,Slight resource overlap during overnight batch windows,Marginal cost inefficiency on cloud bill,Mitigate,Re-stagger jobs in next infrastructure cleanup,MONITOR
68,Threat,The build script logs more verbosely than needed in CI,CI logs are noisier than necessary,Slightly slower log review during debugging,Mitigate,Reduce verbosity in build script cleanup,MONITOR
69,Threat,A handful of feature toggles remain in code after their experiments concluded,Dead code paths exist behind expired feature flags,Minor code cleanliness issue,Mitigate,Remove during regular tech debt sprints,MONITOR
70,Threat,The contact form sometimes takes 2 seconds longer than other forms,Contact form perceived as slower than others,Minor UX inconsistency,Accept,Investigate when refactoring forms module,MONITOR
71,Threat,Some internal tools require admins to log in twice due to a session bug,Admins experience double login flow,Minor admin productivity friction,Mitigate,Fix session refresh logic in admin tools sprint,MONITOR
72,Threat,The mobile app icon could be sharper on the latest iOS device resolutions,Icon appears slightly soft on newest iPhone models,Cosmetic icon quality issue,Mitigate,Regenerate icon assets at higher resolution,MONITOR
73,Threat,The newsletter unsubscribe page lacks branding consistency with the main site,Unsubscribe page looks slightly off-brand,Minor brand consistency issue,Mitigate,Update unsubscribe page in marketing site refresh,MONITOR
74,Threat,The status page uses a generic theme rather than custom branding,Status page is functional but generic looking,Minor branding polish opportunity,Accept,Customize status page when bandwidth allows,MONITOR
75,Threat,Some internal docs are in markdown and others in Confluence creating fragmentation,Team members search in both places to find information,Minor knowledge management inefficiency,Mitigate,Consolidate to single platform during knowledge management initiative,MONITOR
76,Threat,The CSV export feature could be faster for large exports above 100k rows,Large CSV exports take longer than ideal for power users,Minor power-user productivity issue,Mitigate,Stream large exports in next data engineering sprint,MONITOR
77,Threat,The application uses two different toast notification libraries from a past merge,Slight visual inconsistency in notifications,Minor UI consistency issue,Mitigate,Consolidate to single library during UI cleanup,MONITOR
78,Threat,Some background jobs lack structured logging making debugging harder,Background job debugging requires more effort than necessary,Minor operational friction,Mitigate,Add structured logging during observability improvements,MONITOR
79,Threat,The release notes template could include more context for non-technical readers,Release notes are technically accurate but less accessible,Minor communication clarity issue,Accept,Improve template when product marketing has capacity,MONITOR
80,Threat,Some database indexes could be tuned for slightly better query performance,Queries run within SLA but not at theoretical optimum,Marginal performance optimization opportunity,Mitigate,Tune indexes in next database optimization sprint,MONITOR
